cluster_id,apogee_name,n_apogee_rows,n_finite_rv,rv_median_kms,rv_robust_sigma_kms,n_finite_feh,feh_median,feh_robust_sigma,rvprob_median,n_rvprob_gt_0p5,n_rvprob_gt_0p8
NGC0104,NGC0104,302,302,-17.783555030822754,7.710960499191284,301,-0.7485399842262268,0.0507049388051033,0.7367604672908783,269,0
NGC0288,NGC0288,43,43,-44.36079788208008,1.8399931091308592,43,-1.2697999477386477,0.047739865350722936,0.9705806374549866,41,38
NGC0362,NGC0362,70,70,223.82295989990234,4.58935011291506,70,-1.111199975013733,0.039956072545051576,0.9913185834884644,70,70
NGC1851,NGC1851,71,71,320.1372375488281,4.910343328857421,71,-1.124899983406067,0.07679869866371188,1.0,71,71
NGC1904,NGC1904,40,40,206.60437774658203,3.4638378158569543,40,-1.52224999666214,0.10155807384252565,0.9999960660934448,40,40
NGC2298,NGC2298,12,12,147.03438568115234,2.8379361099243163,12,-1.8315500020980835,0.11668054053783417,0.99256432056427,12,12
NGC2808,NGC2808,132,132,102.3358154296875,8.925388414764393,132,-1.0869500041007996,0.06449310919046401,0.995100736618042,131,129
NGC3201,NGC3201,215,215,495.2716674804688,3.7326518188477404,214,-1.355650007724762,0.07175781751871109,1.0,215,215
NGC4147,NGC4147,3,3,181.9328765869141,0.007194012451171875,3,-1.6601999998092651,0.03691668004989591,1.0,3,3
NGC4590,NGC4590,41,41,-92.85669708251952,2.234351678466818,41,-2.22790002822876,0.08539779167175358,0.9994447231292723,41,40
NGC5024,NGC5024,41,41,-62.58756256103516,4.211336430358876,41,-1.9067000150680544,0.10882287054061889,0.8905624151229858,38,30
NGC5053,NGC5053,17,17,43.538818359375,2.21949988861084,17,-2.218600034713745,0.0988893928527832,0.9302443265914916,17,17
NGC5139,NGC5139,1017,1017,230.7105712890625,10.59297973022461,1017,-1.6692999601364136,0.16590289843082426,1.0,1017,1017
PAL01,Pal1,3,3,-75.74323272705078,0.4403617904663086,3,-0.4472500085830688,0.006375177454948343,0.9576399922370912,2,2
RUP106,Rup106,2,2,-37.51356315612793,0.48870363121032184,2,-1.3061000108718872,0.048629219484329224,0.5444564521312714,2,0
