cluster_id,gaia_catalogue_available,gaia_profile_available,hacks_profile_available,apogee_parameters_available,apogee_members_available,gaia_name,gaia_catalogue_file,gaia_profile_file,n_gaia_sources,n_gaia_primary_p90_q2,n_gaia_profile_bins,n_apogee_members,apogee_rv_median_kms,apogee_feh_median
AM_1,True,False,False,False,False,AM_1,catalogues/AM_1.txt,,79.0,38.0,,,,
AM_4,True,False,False,False,False,AM_4,catalogues/AM_4.txt,,41.0,4.0,,,,
ARP_2,True,False,False,False,False,Arp_2,catalogues/Arp_2.txt,,582.0,152.0,,,,
BH_140,True,True,False,False,False,BH_140,catalogues/BH_140.txt,profiles/BH_140.txt,32950.0,3356.0,101.0,,,
BH_176,True,False,False,False,False,BH_176,catalogues/BH_176.txt,,3535.0,79.0,,,,
BH_261_AL_3,True,True,False,False,False,BH_261_AL_3,catalogues/BH_261_AL_3.txt,profiles/BH_261_AL_3.txt,2284.0,16.0,101.0,,,
BLISS_1,True,False,False,False,False,Bliss_1,catalogues/Bliss_1.txt,,160.0,8.0,,,,
CRATER,True,False,False,False,False,Crater,catalogues/Crater.txt,,42.0,8.0,,,,
DJORG_1,True,True,False,False,False,Djorg_1,catalogues/Djorg_1.txt,profiles/Djorg_1.txt,1874.0,35.0,101.0,,,
DJORG_2,False,False,False,True,False,,,,,,,,,
DJORG_2_ESO456,True,True,False,False,False,Djorg_2_ESO456-,catalogues/Djorg_2_ESO456-.txt,profiles/Djorg_2_ESO456-.txt,2322.0,11.0,101.0,,,
ERIDANUS,True,False,False,False,False,Eridanus,catalogues/Eridanus.txt,,99.0,36.0,,,,
ESO280_06,True,False,False,False,False,ESO280-06,catalogues/ESO280-06.txt,,660.0,37.0,,,,
ESO452_11,True,True,False,False,False,ESO452-11,catalogues/ESO452-11.txt,profiles/ESO452-11.txt,635.0,100.0,101.0,,,
ESO_93_8,True,False,False,False,False,ESO_93-8,catalogues/ESO_93-8.txt,,1140.0,42.0,,,,
E_3,True,False,False,False,False,E_3,catalogues/E_3.txt,,738.0,379.0,,,,
FSR1758,False,False,False,True,False,,,,,,,,,
FSR_1716,True,True,False,False,False,FSR_1716,catalogues/FSR_1716.txt,profiles/FSR_1716.txt,6707.0,122.0,101.0,,,
FSR_1735,True,False,False,False,False,FSR_1735,catalogues/FSR_1735.txt,,830.0,49.0,,,,
FSR_1758,True,True,False,False,False,FSR_1758,catalogues/FSR_1758.txt,profiles/FSR_1758.txt,36201.0,669.0,101.0,,,
GRAN_1,True,False,False,False,False,Gran_1,catalogues/Gran_1.txt,,2185.0,14.0,,,,
HP1,False,False,False,True,False,,,,,,,,,
HP_1_BH_229,True,True,False,False,False,HP_1_BH_229,catalogues/HP_1_BH_229.txt,profiles/HP_1_BH_229.txt,5773.0,61.0,101.0,,,
IC1257,True,False,False,False,False,IC_1257,catalogues/IC_1257.txt,,292.0,55.0,,,,
IC1276,True,True,False,False,False,IC_1276_Pal_7,catalogues/IC_1276_Pal_7.txt,profiles/IC_1276_Pal_7.txt,13335.0,1238.0,101.0,,,
IC4499,True,True,False,False,False,IC_4499,catalogues/IC_4499.txt,profiles/IC_4499.txt,3410.0,1207.0,101.0,,,
KIM_3,True,False,False,False,False,Kim_3,catalogues/Kim_3.txt,,60.0,6.0,,,,
KO_1,True,False,False,False,False,Ko_1,catalogues/Ko_1.txt,,15.0,4.0,,,,
KO_2,True,False,False,False,False,Ko_2,catalogues/Ko_2.txt,,29.0,4.0,,,,
LAEVENS_3,True,False,False,False,False,Laevens_3,catalogues/Laevens_3.txt,,101.0,13.0,,,,
LILLER1,False,False,False,True,False,,,,,,,,,
LILLER_1,True,False,False,False,False,Liller_1,catalogues/Liller_1.txt,,1205.0,0.0,,,,
LYNGA_7_BH184,True,True,False,False,False,Lynga_7_BH184,catalogues/Lynga_7_BH184.txt,profiles/Lynga_7_BH184.txt,10367.0,297.0,101.0,,,
MERCER_5,True,False,False,False,False,Mercer_5,catalogues/Mercer_5.txt,,186.0,0.0,,,,
MUNOZ_1,True,False,False,False,False,Munoz_1,catalogues/Munoz_1.txt,,26.0,4.0,,,,
NGC0104,True,True,False,True,True,NGC_104_47Tuc,catalogues/NGC_104_47Tuc.txt,profiles/NGC_104_47Tuc.txt,144761.0,56103.0,101.0,302.0,-17.783555030822754,-0.7485399842262268
NGC0288,True,True,False,True,True,NGC_288,catalogues/NGC_288.txt,profiles/NGC_288.txt,12191.0,5845.0,101.0,43.0,-44.36079788208008,-1.2697999477386477
NGC0362,True,True,False,True,True,NGC_362,catalogues/NGC_362.txt,profiles/NGC_362.txt,19537.0,6306.0,101.0,70.0,223.82295989990237,-1.111199975013733
NGC1261,True,True,False,False,False,NGC_1261,catalogues/NGC_1261.txt,profiles/NGC_1261.txt,6084.0,2065.0,101.0,,,
NGC1851,True,True,False,True,True,NGC_1851,catalogues/NGC_1851.txt,profiles/NGC_1851.txt,12688.0,4648.0,101.0,71.0,320.1372375488281,-1.124899983406067
NGC1904,True,True,False,True,True,NGC_1904_M_79,catalogues/NGC_1904_M_79.txt,profiles/NGC_1904_M_79.txt,7942.0,2760.0,101.0,40.0,206.60437774658203,-1.52224999666214
NGC2298,True,True,False,True,True,NGC_2298,catalogues/NGC_2298.txt,profiles/NGC_2298.txt,4190.0,1470.0,101.0,12.0,147.03438568115234,-1.8315500020980835
NGC2419,True,False,False,False,False,NGC_2419,catalogues/NGC_2419.txt,,1878.0,645.0,,,,
NGC2808,True,True,False,True,True,NGC_2808,catalogues/NGC_2808.txt,profiles/NGC_2808.txt,32225.0,7879.0,101.0,132.0,102.3358154296875,-1.0869500041007996
NGC3201,True,True,False,True,True,NGC_3201,catalogues/NGC_3201.txt,profiles/NGC_3201.txt,63171.0,18553.0,101.0,215.0,495.2716674804688,-1.355650007724762
NGC4147,True,True,False,True,True,NGC_4147,catalogues/NGC_4147.txt,profiles/NGC_4147.txt,1419.0,474.0,101.0,3.0,181.9328765869141,-1.6601999998092651
NGC4372,True,True,False,False,False,NGC_4372,catalogues/NGC_4372.txt,profiles/NGC_4372.txt,37075.0,10189.0,101.0,,,
NGC4590,True,True,False,True,True,NGC_4590_M_68,catalogues/NGC_4590_M_68.txt,profiles/NGC_4590_M_68.txt,10305.0,4124.0,101.0,41.0,-92.85669708251952,-2.22790002822876
NGC4833,True,True,False,False,False,NGC_4833,catalogues/NGC_4833.txt,profiles/NGC_4833.txt,30883.0,3320.0,101.0,,,
NGC5024,True,True,False,True,True,NGC_5024_M_53,catalogues/NGC_5024_M_53.txt,profiles/NGC_5024_M_53.txt,11051.0,4961.0,101.0,41.0,-62.58756256103516,-1.9067000150680544
NGC5053,True,True,False,True,True,NGC_5053,catalogues/NGC_5053.txt,profiles/NGC_5053.txt,3245.0,2008.0,101.0,17.0,43.538818359375,-2.218600034713745
NGC5139,True,True,False,True,True,NGC_5139_oCen,catalogues/NGC_5139_oCen.txt,profiles/NGC_5139_oCen.txt,228055.0,72932.0,101.0,1017.0,230.7105712890625,-1.6692999601364136
NGC5272,True,True,False,True,False,NGC_5272_M_3,catalogues/NGC_5272_M_3.txt,profiles/NGC_5272_M_3.txt,28762.0,13220.0,101.0,,,
NGC5286,True,True,False,False,False,NGC_5286,catalogues/NGC_5286.txt,profiles/NGC_5286.txt,11760.0,2286.0,101.0,,,
NGC5466,True,True,False,True,False,NGC_5466,catalogues/NGC_5466.txt,profiles/NGC_5466.txt,5567.0,3134.0,101.0,,,
NGC5634,True,True,False,True,False,NGC_5634,catalogues/NGC_5634.txt,profiles/NGC_5634.txt,1734.0,499.0,101.0,,,
NGC5694,True,True,False,False,False,NGC_5694,catalogues/NGC_5694.txt,profiles/NGC_5694.txt,963.0,242.0,101.0,,,
NGC5824,True,True,False,False,False,NGC_5824,catalogues/NGC_5824.txt,profiles/NGC_5824.txt,3488.0,753.0,101.0,,,
NGC5897,True,True,False,False,False,NGC_5897,catalogues/NGC_5897.txt,profiles/NGC_5897.txt,8224.0,3141.0,101.0,,,
NGC5904,True,True,False,True,False,NGC_5904_M_5,catalogues/NGC_5904_M_5.txt,profiles/NGC_5904_M_5.txt,28523.0,11843.0,101.0,,,
NGC5927,True,True,False,False,False,NGC_5927,catalogues/NGC_5927.txt,profiles/NGC_5927.txt,37264.0,1058.0,101.0,,,
NGC5946,True,True,False,False,False,NGC_5946,catalogues/NGC_5946.txt,profiles/NGC_5946.txt,9757.0,186.0,101.0,,,
NGC5986,True,True,False,False,False,NGC_5986,catalogues/NGC_5986.txt,profiles/NGC_5986.txt,11293.0,1475.0,101.0,,,
NGC6093,True,True,False,True,False,NGC_6093_M_80,catalogues/NGC_6093_M_80.txt,profiles/NGC_6093_M_80.txt,7749.0,1599.0,101.0,,,
NGC6101,True,True,False,False,False,NGC_6101,catalogues/NGC_6101.txt,profiles/NGC_6101.txt,13365.0,3836.0,101.0,,,
NGC6121,True,True,False,True,False,NGC_6121_M_4,catalogues/NGC_6121_M_4.txt,profiles/NGC_6121_M_4.txt,69417.0,14607.0,101.0,,,
NGC6139,True,True,False,False,False,NGC_6139,catalogues/NGC_6139.txt,profiles/NGC_6139.txt,11679.0,585.0,101.0,,,
NGC6144,True,True,False,True,False,NGC_6144,catalogues/NGC_6144.txt,profiles/NGC_6144.txt,5618.0,1308.0,101.0,,,
NGC6171,True,True,False,True,False,NGC_6171_M107,catalogues/NGC_6171_M107.txt,profiles/NGC_6171_M107.txt,10684.0,3915.0,101.0,,,
NGC6205,True,True,False,True,False,NGC_6205_M_13,catalogues/NGC_6205_M_13.txt,profiles/NGC_6205_M_13.txt,37720.0,14484.0,101.0,,,
NGC6218,True,True,False,True,False,NGC_6218_M_12,catalogues/NGC_6218_M_12.txt,profiles/NGC_6218_M_12.txt,22224.0,8123.0,101.0,,,
NGC6229,True,True,False,True,False,NGC_6229,catalogues/NGC_6229.txt,profiles/NGC_6229.txt,1597.0,427.0,101.0,,,
NGC6235,True,True,False,False,False,NGC_6235,catalogues/NGC_6235.txt,profiles/NGC_6235.txt,3270.0,623.0,101.0,,,
NGC6254,True,True,False,True,False,NGC_6254_M_10,catalogues/NGC_6254_M_10.txt,profiles/NGC_6254_M_10.txt,32290.0,10037.0,101.0,,,
NGC6256,True,True,False,False,False,NGC_6256,catalogues/NGC_6256.txt,profiles/NGC_6256.txt,3918.0,168.0,101.0,,,
NGC6266,True,True,False,False,False,NGC_6266_M_62,catalogues/NGC_6266_M_62.txt,profiles/NGC_6266_M_62.txt,53912.0,1653.0,101.0,,,
NGC6273,True,True,False,True,False,NGC_6273_M_19,catalogues/NGC_6273_M_19.txt,profiles/NGC_6273_M_19.txt,39339.0,2301.0,101.0,,,
NGC6284,True,True,False,False,False,NGC_6284,catalogues/NGC_6284.txt,profiles/NGC_6284.txt,6029.0,185.0,101.0,,,
NGC6287,True,True,False,False,False,NGC_6287,catalogues/NGC_6287.txt,profiles/NGC_6287.txt,6892.0,691.0,101.0,,,
NGC6293,True,True,False,True,False,NGC_6293,catalogues/NGC_6293.txt,profiles/NGC_6293.txt,13080.0,285.0,101.0,,,
NGC6304,True,True,False,True,False,NGC_6304,catalogues/NGC_6304.txt,profiles/NGC_6304.txt,15428.0,232.0,101.0,,,
NGC6316,True,True,False,True,False,NGC_6316,catalogues/NGC_6316.txt,profiles/NGC_6316.txt,9463.0,95.0,101.0,,,
NGC6325,True,True,False,False,False,NGC_6325,catalogues/NGC_6325.txt,profiles/NGC_6325.txt,2726.0,302.0,101.0,,,
NGC6333,True,True,False,False,False,NGC_6333_M_9,catalogues/NGC_6333_M_9.txt,profiles/NGC_6333_M_9.txt,22807.0,926.0,101.0,,,
NGC6341,True,True,False,True,False,NGC_6341_M_92,catalogues/NGC_6341_M_92.txt,profiles/NGC_6341_M_92.txt,18601.0,6925.0,101.0,,,
NGC6342,True,True,False,False,False,NGC_6342,catalogues/NGC_6342.txt,profiles/NGC_6342.txt,6587.0,298.0,101.0,,,
NGC6352,True,True,False,False,False,NGC_6352,catalogues/NGC_6352.txt,profiles/NGC_6352.txt,34948.0,1783.0,101.0,,,
NGC6355,True,True,False,False,False,NGC_6355,catalogues/NGC_6355.txt,profiles/NGC_6355.txt,4917.0,160.0,101.0,,,
NGC6356,True,True,False,False,False,NGC_6356,catalogues/NGC_6356.txt,profiles/NGC_6356.txt,22584.0,361.0,101.0,,,
NGC6362,True,True,False,False,False,NGC_6362,catalogues/NGC_6362.txt,profiles/NGC_6362.txt,23789.0,7073.0,101.0,,,
NGC6366,True,True,False,False,False,NGC_6366,catalogues/NGC_6366.txt,profiles/NGC_6366.txt,13858.0,5560.0,101.0,,,
NGC6380,True,True,False,True,False,NGC_6380_Ton1,catalogues/NGC_6380_Ton1.txt,profiles/NGC_6380_Ton1.txt,4287.0,146.0,101.0,,,
