cluster_id,gaia_name,catalogue_file,n_sources,n_finite_pm,n_finite_phot,n_p50,n_p70,n_p90,n_p95,n_primary_q2_p90,median_density_arcmin2,p90_density_arcmin2,median_g,median_bp_rp,median_pmra,median_pmdec
AM_1,AM_1,catalogues/AM_1.txt,79,79,77,58,57,57,56,38,24.67,91.52000000000004,20.6122,0.9471,0.6473,-0.2952
AM_4,AM_4,catalogues/AM_4.txt,41,41,41,8,8,4,4,4,3.479,7.522,19.5888,1.2089,-5.8713,-2.949
ARP_2,Arp_2,catalogues/Arp_2.txt,582,582,564,285,272,232,199,152,23.22,37.887,19.29565,1.0698,-2.2396000000000003,-1.86435
BH_140,BH_140,catalogues/BH_140.txt,32950,32950,28480,6126,6014,5706,5410,3356,98.63,145.3,19.724649999999997,1.5279,-7.04725,-0.20215
BH_176,BH_176,catalogues/BH_176.txt,3535,3535,2919,355,240,130,101,79,116.4,174.67999999999998,19.57,1.5753,-4.5661,-3.6597
BH_261_AL_3,BH_261_AL_3,catalogues/BH_261_AL_3.txt,2284,2284,1649,123,105,77,64,16,173.1,215.17000000000002,18.351750000000003,1.3394,-1.65605,-4.655
BLISS_1,Bliss_1,catalogues/Bliss_1.txt,160,160,158,10,10,9,7,8,5.7785,6.2471,19.122799999999998,1.2529,-5.9727,0.1724
CRATER,Crater,catalogues/Crater.txt,42,42,41,16,15,14,14,8,1.767,17.004999999999995,19.41755,1.0528,-1.5064000000000002,-0.4026
DJORG_1,Djorg_1,catalogues/Djorg_1.txt,1874,1874,1463,211,156,90,63,35,142.1,183.17,19.28465,3.1577,-2.96985,-5.48975
DJORG_2_ESO456,Djorg_2_ESO456-,catalogues/Djorg_2_ESO456-.txt,2322,2322,1679,63,40,23,20,11,175.2,220.39000000000001,17.9394,2.1711,-1.83955,-4.4191
E_3,E_3,catalogues/E_3.txt,738,738,712,459,454,425,397,379,17.785,59.24700000000004,19.62095,1.23915,-2.86585,7.0372
ERIDANUS,Eridanus,catalogues/Eridanus.txt,99,99,96,44,43,43,43,36,1.718,37.766,19.7767,1.1625,0.7546,-0.3813
ESO280_06,ESO280-06,catalogues/ESO280-06.txt,660,660,608,127,109,67,51,37,47.32,150.97000000000003,19.49915,1.0821,-1.19495,-3.89245
ESO452_11,ESO452-11,catalogues/ESO452-11.txt,635,635,574,271,249,189,155,100,45.42,197.90000000000015,19.746,1.5108000000000001,-1.8251,-5.8198
ESO_93_8,ESO_93-8,catalogues/ESO_93-8.txt,1140,1140,975,207,156,78,49,42,86.055,161.32000000000005,19.81895,1.5934,-5.401,1.6532499999999999
FSR_1716,FSR_1716,catalogues/FSR_1716.txt,6707,6707,5643,534,444,320,257,122,131.0,141.94000000000005,19.4122,2.1185,-3.8131,-4.3642
FSR_1735,FSR_1735,catalogues/FSR_1735.txt,830,830,764,174,154,110,88,49,64.285,83.34200000000001,19.6346,2.67105,-2.8192000000000004,-3.2714
FSR_1758,FSR_1758,catalogues/FSR_1758.txt,36201,36201,30224,2024,1900,1640,1458,669,113.5,122.4,19.148,1.9116,-2.1204,-3.9165
GRAN_1,Gran_1,catalogues/Gran_1.txt,2185,2185,1643,78,60,45,39,14,168.2,197.06,19.02,2.2365,-2.5703,-5.1364
HP_1_BH_229,HP_1_BH_229,catalogues/HP_1_BH_229.txt,5773,5773,3980,522,500,454,423,61,196.0,241.78000000000003,18.6606,2.6748000000000003,-2.3391,-5.2431
IC1257,IC_1257,catalogues/IC_1257.txt,292,292,266,133,129,118,108,55,22.555,284.76000000000016,19.883499999999998,1.79475,-1.1719499999999998,-1.90165
IC1276,IC_1276_Pal_7,catalogues/IC_1276_Pal_7.txt,13335,13335,11802,5776,4701,2714,1727,1238,63.37,170.1,19.9718,2.2849,-2.3626,-4.505
IC4499,IC_4499,catalogues/IC_4499.txt,3410,3410,3024,2407,2343,2188,2041,1207,65.445,269.3,20.1285,1.08575,0.2848,-0.6035999999999999
KIM_3,Kim_3,catalogues/Kim_3.txt,60,60,60,9,9,8,7,6,4.835,7.5728,19.53525,1.0986500000000001,-4.738849999999999,-1.4910999999999999
KO_1,Ko_1,catalogues/Ko_1.txt,15,15,15,6,6,6,6,4,3.33,49.741999999999976,18.4677,1.0643,-2.4502,-2.1529
KO_2,Ko_2,catalogues/Ko_2.txt,29,29,29,7,6,6,5,4,2.659,11.265999999999998,19.7772,1.5044,-1.4792,-3.3657
LAEVENS_3,Laevens_3,catalogues/Laevens_3.txt,101,101,98,22,18,16,14,13,8.065,17.11,19.0822,1.06045,-0.2987,-2.7401
LILLER_1,Liller_1,catalogues/Liller_1.txt,1205,1205,1047,83,65,41,33,0,95.65,107.56000000000002,19.3949,2.5653,-1.273,-2.9124
LYNGA_7_BH184,Lynga_7_BH184,catalogues/Lynga_7_BH184.txt,10367,10367,7571,1849,1326,728,503,297,195.6,296.73999999999995,19.7611,1.7431,-3.9684,-5.0698
MERCER_5,Mercer_5,catalogues/Mercer_5.txt,186,186,168,41,33,21,14,0,56.754999999999995,72.545,19.636200000000002,2.8333,-1.1587999999999998,-3.66975
MUNOZ_1,Munoz_1,catalogues/Munoz_1.txt,26,26,26,6,5,4,4,4,1.0470000000000002,2.607,19.67435,1.3571499999999999,-0.4955,-1.26965
NGC0104,NGC_104_47Tuc,catalogues/NGC_104_47Tuc.txt,144761,144761,121365,110299,109318,107056,105316,56103,98.93,280.2,19.0363,0.9692,5.1357,-2.4221
NGC1261,NGC_1261,catalogues/NGC_1261.txt,6084,6084,4393,4889,4745,4422,4172,2065,217.35000000000002,468.3399999999999,19.789749999999998,0.7317,1.63665,-2.05085
NGC1851,NGC_1851,catalogues/NGC_1851.txt,12688,12688,9608,10540,10356,9943,9619,4648,189.7,379.5,19.698,0.7777,2.1281,-0.6217
NGC1904,NGC_1904_M_79,catalogues/NGC_1904_M_79.txt,7942,7942,5812,6610,6495,6163,5852,2760,209.05,463.5,19.7649,0.7323999999999999,2.4696,-1.5894
NGC2298,NGC_2298,catalogues/NGC_2298.txt,4190,4190,3177,3291,3246,3165,3089,1470,126.75,561.91,19.732599999999998,0.9718,3.2233,-2.0801499999999997
NGC2419,NGC_2419,catalogues/NGC_2419.txt,1878,1878,1534,1563,1524,1441,1353,645,79.85,447.48999999999995,19.900399999999998,1.04705,-0.038400000000000004,-0.56065
NGC2808,NGC_2808,catalogues/NGC_2808.txt,32225,32225,26168,19088,18588,17475,16528,7879,114.8,313.0,19.4965,1.04495,0.5791,0.6079
NGC0288,NGC_288,catalogues/NGC_288.txt,12191,12191,9574,10966,10858,10591,10352,5845,142.1,363.6,19.6175,0.7411,4.1629,-5.6918
