cluster_id,gaia_name,radius_deg,disp_p02_3,disp_p15_9,disp_p50,disp_p84_1,disp_p97_7,rot_p02_3,rot_p15_9,rot_p50,rot_p84_1,rot_p97_7,rot_extra,source_file
BH_140,BH_140,0.0,0.0880912,0.0939102,0.101452,0.111249,0.126568,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,profiles/BH_140.txt
BH_140,BH_140,0.00166667,0.0880644,0.0936281,0.101049,0.110457,0.124349,-0.00303225,-0.00165495,-0.000364958,0.00102362,0.00222137,0.00257324,profiles/BH_140.txt
BH_140,BH_140,0.00333333,0.0878657,0.0933486,0.100752,0.109626,0.122599,-0.00602935,-0.00329382,-0.000723992,0.00204297,0.00442208,0.00512174,profiles/BH_140.txt
BH_140,BH_140,0.005,0.0875544,0.0930162,0.100356,0.108908,0.120905,-0.00895372,-0.00489276,-0.00106481,0.00304994,0.00658281,0.00762154,profiles/BH_140.txt
BH_140,BH_140,0.00666667,0.0873884,0.0926867,0.0999658,0.10815,0.119941,-0.0117837,-0.00644263,-0.00138153,0.00403554,0.00867333,0.0100502,profiles/BH_140.txt
BH_140,BH_140,0.00833333,0.0872994,0.0923866,0.0994335,0.107294,0.118492,-0.0144809,-0.00790358,-0.00169274,0.00497842,0.0107096,0.0123875,profiles/BH_140.txt
BH_140,BH_140,0.01,0.0871506,0.0919867,0.098977,0.106497,0.117134,-0.0169937,-0.00926156,-0.00200021,0.00590796,0.0126391,0.0146157,profiles/BH_140.txt
BH_140,BH_140,0.0116667,0.0869996,0.0916154,0.0983966,0.105861,0.115194,-0.0193386,-0.0105246,-0.00223527,0.0067784,0.0144636,0.0167203,profiles/BH_140.txt
BH_140,BH_140,0.0133333,0.0863878,0.091285,0.0979236,0.105252,0.114413,-0.0213425,-0.0116615,-0.00243529,0.00757602,0.0161901,0.0186898,profiles/BH_140.txt
BH_140,BH_140,0.015,0.0860818,0.0909308,0.0973365,0.104716,0.113361,-0.0231485,-0.0125866,-0.00260853,0.00834094,0.0177063,0.0205162,profiles/BH_140.txt
BH_140,BH_140,0.0166667,0.0858058,0.0905988,0.0968219,0.104192,0.111975,-0.0247095,-0.0133341,-0.00261797,0.00905635,0.0190209,0.0221942,profiles/BH_140.txt
BH_140,BH_140,0.0183333,0.0856396,0.0902245,0.0963248,0.103663,0.111114,-0.0257914,-0.0138746,-0.00254832,0.00976037,0.0202522,0.0237217,profiles/BH_140.txt
BH_140,BH_140,0.02,0.0854345,0.0898105,0.0958574,0.103067,0.11015,-0.0264924,-0.0142372,-0.00237811,0.0102429,0.021365,0.0250992,profiles/BH_140.txt
BH_140,BH_140,0.0216667,0.0850124,0.0893376,0.0953953,0.102512,0.109219,-0.0268805,-0.0143257,-0.00204749,0.0108389,0.0222489,0.0263292,profiles/BH_140.txt
BH_140,BH_140,0.0233333,0.0845896,0.0889474,0.0950365,0.101866,0.108523,-0.0266211,-0.0141662,-0.00171467,0.0115315,0.0227014,0.0274163,profiles/BH_140.txt
BH_140,BH_140,0.025,0.0842294,0.0886741,0.0945447,0.101218,0.107723,-0.0263775,-0.0137038,-0.00131014,0.0118435,0.023216,0.0283665,profiles/BH_140.txt
