cluster_id,gaia_name,source_file,n_profile_bins,radius_min_deg,radius_max_deg,disp_inner_p50,disp_outer_p50,rot_peak_abs_p50
BH_140,BH_140,profiles/BH_140.txt,101,0.0,0.166667,0.101452,0.0734306,0.0103207
BH_261_AL_3,BH_261_AL_3,profiles/BH_261_AL_3.txt,101,0.0,0.0333333,0.111321,0.0347546,0.0201777
DJORG_1,Djorg_1,profiles/Djorg_1.txt,101,0.0,0.0333333,0.154616,0.0700997,0.126437
DJORG_2_ESO456,Djorg_2_ESO456-,profiles/Djorg_2_ESO456-.txt,101,0.0,0.0333333,0.0973817,0.0200033,0.110264
ESO452_11,ESO452-11,profiles/ESO452-11.txt,101,0.0,0.0333333,0.0462429,0.0173495,0.0900445
FSR_1716,FSR_1716,profiles/FSR_1716.txt,101,0.0,0.0666667,0.119073,0.0889177,0.0844071
FSR_1758,FSR_1758,profiles/FSR_1758.txt,101,0.0,0.166667,0.129791,0.0697317,0.01822
HP_1_BH_229,HP_1_BH_229,profiles/HP_1_BH_229.txt,101,0.0,0.05,0.173121,0.100287,0.0431104
IC1276,IC_1276_Pal_7,profiles/IC_1276_Pal_7.txt,101,0.0,0.133333,0.156236,0.0926878,0.0254843
IC4499,IC_4499,profiles/IC_4499.txt,101,0.0,0.1,0.036515,0.00609021,0.0149479
LYNGA_7_BH184,Lynga_7_BH184,profiles/Lynga_7_BH184.txt,101,0.0,0.0666667,0.103594,0.0636998,0.00792135
NGC0104,NGC_104_47Tuc,profiles/NGC_104_47Tuc.txt,101,0.0,0.666667,0.546253,0.171336,0.263579
NGC1261,NGC_1261,profiles/NGC_1261.txt,101,0.0,0.166667,0.0854674,0.0101344,0.0225651
NGC1851,NGC_1851,profiles/NGC_1851.txt,101,0.0,0.25,0.179828,0.0310544,0.0182253
NGC1904,NGC_1904_M_79,profiles/NGC_1904_M_79.txt,101,0.0,0.166667,0.0948301,0.0354739,0.0381908
NGC2298,NGC_2298,profiles/NGC_2298.txt,101,0.0,0.1,0.0676785,0.00911433,0.0175929
NGC2808,NGC_2808,profiles/NGC_2808.txt,101,0.0,0.25,0.232904,0.0703278,0.0154434
NGC0288,NGC_288,profiles/NGC_288.txt,101,0.0,0.25,0.0702167,0.02544,0.0175102
NGC3201,NGC_3201,profiles/NGC_3201.txt,101,0.0,0.416667,0.191998,0.0834298,0.0301246
NGC0362,NGC_362,profiles/NGC_362.txt,101,0.0,0.2,0.197417,0.0747461,0.0111594
NGC4147,NGC_4147,profiles/NGC_4147.txt,101,0.0,0.133333,0.0403289,0.00992856,0.0687111
NGC4372,NGC_4372,profiles/NGC_4372.txt,101,0.0,0.25,0.188917,0.102972,0.0343642
