cluster_id,n_hacks_bins,sum_bin_stars,r_min_arcsec,r_max_arcsec,median_sigma_pm_masyr,min_sigma_pm_masyr,max_sigma_pm_masyr,median_sigma_pm_err_masyr,source_note
NGC0104,28,10318,8.0216,158.5868,0.545,0.46,0.66,0.014,summary_from_uploaded_hacks_velocity_dispersion_text
NGC0288,5,487,13.8853,80.8034,0.068,0.063,0.074,0.004,summary_from_uploaded_hacks_velocity_dispersion_text
NGC0362,19,3342,7.1193,90.796,0.178,0.144,0.197,0.007,summary_from_uploaded_hacks_velocity_dispersion_text
NGC1261,20,3025,3.1141,99.6557,0.0625,0.046,0.075,0.003,summary_from_uploaded_hacks_velocity_dispersion_text
NGC1851,20,4511,4.3529,89.8988,0.13,0.101,0.185,0.004,summary_from_uploaded_hacks_velocity_dispersion_text
NGC2298,6,310,6.0082,86.7106,0.0745,0.059,0.085,0.006,summary_from_uploaded_hacks_velocity_dispersion_text
NGC2808,24,8000,3.475,101.5505,0.2445,0.19,0.31,0.006500000000000001,summary_from_uploaded_hacks_velocity_dispersion_text
NGC3201,6,804,14.9638,97.6195,0.184,0.172,0.2,0.008,summary_from_uploaded_hacks_velocity_dispersion_text
NGC4590,5,403,13.5896,75.9885,0.076,0.066,0.077,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC4833,12,1885,7.1847,91.1899,0.186,0.165,0.211,0.007,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5024,17,3772,7.5795,100.7875,0.072,0.06,0.083,0.003,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5053,5,248,26.5938,101.4658,0.03,0.023,0.038,0.003,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5272,17,3448,6.8217,89.7092,0.151,0.137,0.172,0.006,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5286,11,1264,12.6235,78.6781,0.175,0.146,0.209,0.009,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5466,5,398,24.8686,99.0486,0.032,0.03,0.033,0.002,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5897,5,294,25.2152,79.0089,0.058,0.055,0.063,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5904,19,4210,3.7621,104.368,0.203,0.185,0.217,0.007,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5927,17,3660,6.8315,106.5675,0.15,0.135,0.163,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC5986,17,3517,7.1035,87.9152,0.139,0.117,0.158,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6093,13,1969,7.5567,73.9453,0.204,0.154,0.244,0.009,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6101,8,894,14.463,106.348,0.0505,0.047,0.055,0.003,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6121,6,606,13.4955,106.7347,0.559,0.543,0.582,0.028,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6144,5,588,14.3554,78.4436,0.098,0.092,0.103,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6171,6,1039,7.0431,81.74,0.1325,0.13,0.144,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6205,21,5263,6.8744,100.1628,0.228,0.208,0.259,0.007,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6218,11,1332,10.4237,92.7132,0.177,0.159,0.201,0.008,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6254,16,1866,10.752,96.1468,0.2405,0.22,0.265,0.012,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6304,8,887,6.636,73.9388,0.1775,0.159,0.19,0.0095,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6341,22,3094,3.2414,100.7625,0.186,0.149,0.211,0.008,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6352,6,794,11.6906,76.8893,0.1235,0.116,0.132,0.006,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6362,10,1094,16.6287,97.4544,0.0945,0.088,0.099,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6366,3,285,35.8006,83.4589,0.147,0.141,0.155,0.009,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6388,31,11982,6.4747,108.8635,0.247,0.202,0.323,0.007,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6397,7,617,6.2001,98.8607,0.445,0.354,0.461,0.024,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6441,27,5909,7.0728,110.1411,0.218,0.189,0.262,0.008,summary_from_uploaded_hacks_velocity_dispersion_text
NGC6496,3,265,21.9419,63.641,0.072,0.065,0.084,0.005,summary_from_uploaded_hacks_velocity_dispersion_text
