file_path,n_rows,n_columns,columns,role
input/analysis_config.csv,12,3,parameter;value;description,input data layer
input/apogee_dr17_gc_member_summary.csv,15,12,cluster_id;apogee_name;n_apogee_rows;n_finite_rv;rv_median_kms;rv_robust_sigma_kms;n_finite_feh;feh_median;feh_robust_sigma;rvprob_median;n_rvprob_gt_0p5;n_rvprob_gt_0p8,input data layer
input/apogee_dr17_gc_members_selected.csv,2009,31,cluster_id;GC_NAME;dPOS;dRV;dPM;dFeH;RV_Prob;VB_PROB;VHELIO_AVG;VERR;GAIAEDR3_SOURCE_ID;GAIAEDR3_PARALLAX;GAIAEDR3_PMRA;GAIAEDR3_PMDEC;GAIAEDR3_PHOT_G_MEAN_MAG;M_H;M_H_ERR;C_FE;C_FE_ERR;N_FE;N_FE_ERR;O_FE;O_FE_ERR;MG_FE;MG_FE_ERR;AL_FE;AL_FE_ERR;SI_FE;SI_FE_ERR;FE_H;FE_H_ERR,input data layer
input/apogee_dr17_gc_parameters.csv,72,21,cluster_id;GC_name;RA_cen;DEC_cen;R_t;Fe_H_med;Fe_H_sig;RV_med;RV_sig;PM_RA;PM_DEC;PM_sig;dist;dist_err;rad_vel;rad_vel_err;Rgc;Rgc_err;mass;mass_err;Nstars,input data layer
input/cluster_crosswalk_master.csv,183,15,cluster_id;gaia_catalogue_available;gaia_profile_available;hacks_profile_available;apogee_parameters_available;apogee_members_available;gaia_name;gaia_catalogue_file;gaia_profile_file;n_gaia_sources;n_gaia_primary_p90_q2;n_gaia_profile_bins;n_apogee_members;apogee_rv_median_kms;apogee_feh_median,input data layer
input/gaia_edr3_catalogue_audit_170.csv,170,17,cluster_id;gaia_name;catalogue_file;n_sources;n_finite_pm;n_finite_phot;n_p50;n_p70;n_p90;n_p95;n_primary_q2_p90;median_density_arcmin2;p90_density_arcmin2;median_g;median_bp_rp;median_pmra;median_pmdec,input data layer
input/gaia_edr3_profile_percentiles.csv,12625,15,cluster_id;gaia_name;radius_deg;disp_p02_3;disp_p15_9;disp_p50;disp_p84_1;disp_p97_7;rot_p02_3;rot_p15_9;rot_p50;rot_p84_1;rot_p97_7;rot_extra;source_file,input data layer
input/gaia_edr3_profile_summary.csv,125,9,cluster_id;gaia_name;source_file;n_profile_bins;radius_min_deg;radius_max_deg;disp_inner_p50;disp_outer_p50;rot_peak_abs_p50,input data layer
input/hacks_hst_dispersion_profiles.csv,716,12,cluster_id;hacks_cluster_id;bin;n_stars;r_arcsec;sigma_pm_masyr;sigma_pm_err_masyr;sigma_radial_masyr;sigma_radial_err_masyr;sigma_tangential_masyr;sigma_tangential_err_masyr;source_note,input data layer
input/hacks_hst_dispersion_summary.csv,57,10,cluster_id;n_hacks_bins;sum_bin_stars;r_min_arcsec;r_max_arcsec;median_sigma_pm_masyr;min_sigma_pm_masyr;max_sigma_pm_masyr;median_sigma_pm_err_masyr;source_note,input data layer
output_csv/GaiaHST_APOGEE_OVERLAP_SUPPORT.csv,10,6,cluster_id;quality_class_short;quality_class;n_apogee_rows;apogee_rv_median_kms;apogee_feh_median,archived workflow output
output_csv/GaiaHST_BENCHMARK_AGREEMENT_CASES.csv,8,5,cluster_id;n_matched_bins;mean_delta_frac;quality_class_short;quality_class,archived workflow output
output_csv/GaiaHST_BOOTSTRAP_GLOBAL_MEAN.csv,2,5,bootstrap_mode;p2_5;median;p97_5;interpretation,archived workflow output
output_csv/GaiaHST_CLASS_BOUNDARY_SENSITIVITY.csv,3,7,threshold_set;n_A;n_B;n_C;n_D;n_E;notes,archived workflow output
output_csv/GaiaHST_CLASS_COUNT_SUMMARY.csv,5,4,quality_class;n_clusters;quality_class_short;fraction_percent,archived workflow output
