cluster_id,quality_class_short,quality_class,n_apogee_rows,apogee_rv_median_kms,apogee_feh_median
NGC0104,A,A_Gaia_HST_consistent,302,-17.7835550308228,-0.748539984226227
NGC3201,A,A_Gaia_HST_consistent,215,495.271667480469,-1.35565000772476
NGC2808,A,A_Gaia_HST_consistent,132,102.335815429688,-1.0869500041008
NGC1851,B,B_small_correction,71,320.137237548828,-1.12489998340607
NGC0362,A,A_Gaia_HST_consistent,70,223.822959899902,-1.11119997501373
NGC0288,A,A_Gaia_HST_consistent,43,-44.3607978820801,-1.26979994773865
NGC5024,A,A_Gaia_HST_consistent,41,-62.5875625610352,-1.90670001506805
NGC4590,A,A_Gaia_HST_consistent,41,-92.8566970825195,-2.22790002822876
NGC5053,D,D_not_reliable_in_overlap,17,43.538818359375,-2.21860003471375
NGC2298,B,B_small_correction,12,147.034385681152,-1.83155000209808
