cluster_id,gaia_catalogue_available,gaia_profile_available,hst_hacks_profile_available,apogee_available,n_gaia_profile_bins,n_hst_bins,n_apogee_rows,median_gaia_density_arcmin2,ready_for_gaia_hst_validation
AM_1,1,0,0,0,0,0,0,24.67,0
AM_4,1,0,0,0,0,0,0,3.479,0
ARP_2,1,0,0,0,0,0,0,23.22,0
BH_140,1,1,0,0,101,0,0,98.63,0
BH_176,1,0,0,0,0,0,0,116.4,0
BH_261_AL_3,1,1,0,0,101,0,0,173.1,0
BLISS_1,1,0,0,0,0,0,0,5.7785,0
CRATER,1,0,0,0,0,0,0,1.767,0
DJORG_1,1,1,0,0,101,0,0,142.1,0
DJORG_2,0,0,0,0,0,0,0,,0
DJORG_2_ESO456,1,1,0,0,101,0,0,175.2,0
ERIDANUS,1,0,0,0,0,0,0,1.718,0
ESO280_06,1,0,0,0,0,0,0,47.32,0
ESO452_11,1,1,0,0,101,0,0,45.42,0
ESO_93_8,1,0,0,0,0,0,0,86.055,0
E_3,1,0,0,0,0,0,0,17.785,0
FSR1758,0,0,0,0,0,0,0,,0
FSR_1716,1,1,0,0,101,0,0,131.0,0
FSR_1735,1,0,0,0,0,0,0,64.285,0
FSR_1758,1,1,0,0,101,0,0,113.5,0
GRAN_1,1,0,0,0,0,0,0,168.2,0
HP1,0,0,0,0,0,0,0,,0
HP_1_BH_229,1,1,0,0,101,0,0,196.0,0
IC1257,1,0,0,0,0,0,0,22.555,0
IC1276,1,1,0,0,101,0,0,63.37,0
IC4499,1,1,0,0,101,0,0,65.445,0
KIM_3,1,0,0,0,0,0,0,4.835,0
KO_1,1,0,0,0,0,0,0,3.33,0
KO_2,1,0,0,0,0,0,0,2.659,0
LAEVENS_3,1,0,0,0,0,0,0,8.065,0
LILLER1,0,0,0,0,0,0,0,,0
LILLER_1,1,0,0,0,0,0,0,95.65,0
LYNGA_7_BH184,1,1,0,0,101,0,0,195.6,0
MERCER_5,1,0,0,0,0,0,0,56.755,0
MUNOZ_1,1,0,0,0,0,0,0,1.047,0
NGC0104,1,1,1,1,101,28,302,98.93,1
NGC0288,1,1,1,1,101,5,43,142.1,1
NGC0362,1,1,1,1,101,19,70,151.3,1
NGC1261,1,1,1,0,101,20,0,217.35,1
NGC1851,1,1,1,1,101,20,71,189.7,1
NGC1904,1,1,0,1,101,0,40,209.05,0
NGC2298,1,1,1,1,101,6,12,126.75,1
NGC2419,1,0,0,0,0,0,0,79.85,0
NGC2808,1,1,1,1,101,24,132,114.8,1
NGC3201,1,1,1,1,101,6,215,30.88,1
NGC4147,1,1,0,1,101,0,3,120.0,0
NGC4372,1,1,0,0,101,0,0,83.72,0
