cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC0104,4,386,26.6547,0.561,0.014,0.532594745631558,0.0298461839806479,-0.028405254368442,-0.0506332519936577,-0.86163816504991,-0.844299136046065,0.547,0.02,0.577,0.021,-0.112697144805136,98.93,302
NGC0104,5,386,30.1497,0.591,0.015,0.530482844753963,0.0293883773389304,-0.0605171552460368,-0.102397893817321,-1.83412544606347,-1.79836775101199,0.588,0.022,0.597,0.021,-0.0308465222823824,98.93,302
NGC0104,6,386,33.8949,0.569,0.015,0.528475843280567,0.028953310232228,-0.0405241567194328,-0.0712199590851191,-1.24276000797926,-1.21867776339926,0.566,0.021,0.565,0.02,0.0035304473772926,98.93,302
NGC0104,7,386,37.4059,0.547,0.014,0.526786385942157,0.0285870786544925,-0.0202136140578434,-0.0369535905993481,-0.635026521973,-0.622445815153337,0.517,0.019,0.572,0.021,-0.224083295608873,98.93,302
NGC0104,8,386,40.9867,0.567,0.014,0.525219394135191,0.0282473945034244,-0.0417806058648088,-0.0736871355640367,-1.32525681507018,-1.29912045955152,0.558,0.02,0.579,0.021,-0.0766851659151342,98.93,302
NGC0104,9,386,44.5412,0.561,0.014,0.52379385106117,0.0279383728564973,-0.0372061489388298,-0.0663211211030834,-1.19060275351699,-1.1672215567272,0.553,0.02,0.57,0.021,-0.0624278552952984,98.93,302
NGC0104,10,386,48.1347,0.565,0.014,0.522430989225217,0.027643403413041,-0.0425690107747833,-0.0753433819022713,-1.37379604489635,-1.3469295814721,0.555,0.02,0.574,0.021,-0.0696404512620725,98.93,302
NGC0104,11,386,51.7444,0.54,0.013,0.520342397792118,0.0272026251936829,-0.0196576022078816,-0.0364029670516326,-0.652007671294715,-0.638973693352086,0.547,0.02,0.536,0.019,0.0398149788275085,98.93,302
NGC0104,12,386,55.6032,0.555,0.014,0.518265022758775,0.0267642140934431,-0.0367349772412254,-0.0661891481823882,-1.21620119588003,-1.19272737531141,0.541,0.019,0.569,0.021,-0.106190699088769,98.93,302
NGC0104,13,386,59.1933,0.53,0.013,0.51645790124731,0.0263828375401527,-0.0135420987526896,-0.0255511297220559,-0.460430768500441,-0.451330117937982,0.539,0.02,0.522,0.019,0.0620850127873718,98.93,302
